Id;Start time;Completion time;Email;Name;Kelas;How long does it take for you to go from your place to campus in minutes?;What is your daily stipend?;How many courses did you get A?
1;20/05/2026 08.00;20/05/2026 08.02;student001@example.com;Student 001;A;12;45000;3
2;20/05/2026 08.01;20/05/2026 08.03;student002@example.com;Student 002;A;18;50000;4
3;20/05/2026 08.02;20/05/2026 08.04;student003@example.com;Student 003;A;22;55000;2
4;20/05/2026 08.03;20/05/2026 08.05;student004@example.com;Student 004;A;28;60000;5
5;20/05/2026 08.04;20/05/2026 08.06;student005@example.com;Student 005;A;35;65000;3
6;20/05/2026 08.05;20/05/2026 08.07;student006@example.com;Student 006;A;40;70000;4
7;20/05/2026 08.06;20/05/2026 08.08;student007@example.com;Student 007;A;16;52000;2
8;20/05/2026 08.07;20/05/2026 08.09;student008@example.com;Student 008;A;24;58000;3
9;20/05/2026 08.08;20/05/2026 08.10;student009@example.com;Student 009;A;31;62000;4
10;20/05/2026 08.09;20/05/2026 08.11;student010@example.com;Student 010;A;45;75000;5
11;20/05/2026 08.10;20/05/2026 08.12;student011@example.com;Student 011;B;8;40000;2
12;20/05/2026 08.11;20/05/2026 08.13;student012@example.com;Student 012;B;14;45000;3
13;20/05/2026 08.12;20/05/2026 08.14;student013@example.com;Student 013;B;20;50000;1
14;20/05/2026 08.13;20/05/2026 08.15;student014@example.com;Student 014;B;27;55000;2
15;20/05/2026 08.14;20/05/2026 08.16;student015@example.com;Student 015;B;33;60000;4
16;20/05/2026 08.15;20/05/2026 08.17;student016@example.com;Student 016;B;38;65000;3
17;20/05/2026 08.16;20/05/2026 08.18;student017@example.com;Student 017;B;44;70000;5
18;20/05/2026 08.17;20/05/2026 08.19;student018@example.com;Student 018;B;19;48000;2
19;20/05/2026 08.18;20/05/2026 08.20;student019@example.com;Student 019;B;26;53000;3
20;20/05/2026 08.19;20/05/2026 08.21;student020@example.com;Student 020;B;36;63000;4
21;20/05/2026 08.20;20/05/2026 08.22;student021@example.com;Student 021;C;10;35000;1
22;20/05/2026 08.21;20/05/2026 08.23;student022@example.com;Student 022;C;17;40000;2
23;20/05/2026 08.22;20/05/2026 08.24;student023@example.com;Student 023;C;23;45000;2
24;20/05/2026 08.23;20/05/2026 08.25;student024@example.com;Student 024;C;29;50000;3
25;20/05/2026 08.24;20/05/2026 08.26;student025@example.com;Student 025;C;34;55000;1
26;20/05/2026 08.25;20/05/2026 08.27;student026@example.com;Student 026;C;42;60000;4
27;20/05/2026 08.26;20/05/2026 08.28;student027@example.com;Student 027;C;48;65000;3
28;20/05/2026 08.27;20/05/2026 08.29;student028@example.com;Student 028;C;25;47000;2
29;20/05/2026 08.28;20/05/2026 08.30;student029@example.com;Student 029;C;31;52000;3
30;20/05/2026 08.29;20/05/2026 08.31;student030@example.com;Student 030;C;39;58000;4
31;20/05/2026 08.30;20/05/2026 08.32;student031@example.com;Student 031;IUP;6;90000;4
32;20/05/2026 08.31;20/05/2026 08.33;student032@example.com;Student 032;IUP;11;100000;5
33;20/05/2026 08.32;20/05/2026 08.34;student033@example.com;Student 033;IUP;18;110000;3
34;20/05/2026 08.33;20/05/2026 08.35;student034@example.com;Student 034;IUP;24;120000;4
35;20/05/2026 08.34;20/05/2026 08.36;student035@example.com;Student 035;IUP;30;130000;5
36;20/05/2026 08.35;20/05/2026 08.37;student036@example.com;Student 036;IUP;36;140000;6
37;20/05/2026 08.36;20/05/2026 08.38;student037@example.com;Student 037;IUP;42;150000;4
38;20/05/2026 08.37;20/05/2026 08.39;student038@example.com;Student 038;IUP;15;105000;5
39;20/05/2026 08.38;20/05/2026 08.40;student039@example.com;Student 039;IUP;28;125000;3
40;20/05/2026 08.39;20/05/2026 08.41;student040@example.com;Student 040;IUP;33;135000;6
41;20/05/2026 08.40;20/05/2026 08.42;student041@example.com;Student 041;G;13;30000;1
42;20/05/2026 08.41;20/05/2026 08.43;student042@example.com;Student 042;G;21;35000;2
43;20/05/2026 08.42;20/05/2026 08.44;student043@example.com;Student 043;G;27;40000;1
44;20/05/2026 08.43;20/05/2026 08.45;student044@example.com;Student 044;G;32;45000;3
45;20/05/2026 08.44;20/05/2026 08.46;student045@example.com;Student 045;G;37;50000;2
46;20/05/2026 08.45;20/05/2026 08.47;student046@example.com;Student 046;G;46;55000;4
47;20/05/2026 08.46;20/05/2026 08.48;student047@example.com;Student 047;G;52;60000;3
48;20/05/2026 08.47;20/05/2026 08.49;student048@example.com;Student 048;G;18;38000;2
49;20/05/2026 08.48;20/05/2026 08.50;student049@example.com;Student 049;G;29;43000;1
50;20/05/2026 08.49;20/05/2026 08.51;student050@example.com;Student 050;G;41;53000;4
